Playlist Name: EDC Las Vegas Guest Mix,Song Name,Spotify ID,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Fun,15sDdGOxQKLyrXggKd3qQm,0.0215,https://api.spotify.com/v1/audio-analysis/15sDdGOxQKLyrXggKd3qQm,0.839,174705,0.922,15sDdGOxQKLyrXggKd3qQm,0.00936,0,0.0548,-3.166,1,0.0568,122.986,4,https://api.spotify.com/v1/tracks/15sDdGOxQKLyrXggKd3qQm,audio_features,spotify:track:15sDdGOxQKLyrXggKd3qQm,0.328
1,Lose My Mind,6KTkeCYyXhRcH33Vmgwt9g,0.142,https://api.spotify.com/v1/audio-analysis/6KTkeCYyXhRcH33Vmgwt9g,0.711,219638,0.983,6KTkeCYyXhRcH33Vmgwt9g,0.673,1,0.34,-8.243,0,0.106,125.016,4,https://api.spotify.com/v1/tracks/6KTkeCYyXhRcH33Vmgwt9g,audio_features,spotify:track:6KTkeCYyXhRcH33Vmgwt9g,0.108
2,Imma Be A Raver,7bwZL55J8V07ePrkFd5czQ,0.0377,https://api.spotify.com/v1/audio-analysis/7bwZL55J8V07ePrkFd5czQ,0.786,186353,0.922,7bwZL55J8V07ePrkFd5czQ,0.0663,7,0.136,-1.892,1,0.134,170.018,4,https://api.spotify.com/v1/tracks/7bwZL55J8V07ePrkFd5czQ,audio_features,spotify:track:7bwZL55J8V07ePrkFd5czQ,0.286
3,Move Back,38IWWXIaSTRUhskMC46VAI,0.043,https://api.spotify.com/v1/audio-analysis/38IWWXIaSTRUhskMC46VAI,0.561,255000,0.934,38IWWXIaSTRUhskMC46VAI,0.381,4,0.21,-3.277,0,0.131,150.052,4,https://api.spotify.com/v1/tracks/38IWWXIaSTRUhskMC46VAI,audio_features,spotify:track:38IWWXIaSTRUhskMC46VAI,0.313
4,Ready For it,42C7PVH57OL3bz1uoHT5S1,0.00882,https://api.spotify.com/v1/audio-analysis/42C7PVH57OL3bz1uoHT5S1,0.381,206118,0.628,42C7PVH57OL3bz1uoHT5S1,0.0171,4,0.0939,-6.944,0,0.109,169.905,4,https://api.spotify.com/v1/tracks/42C7PVH57OL3bz1uoHT5S1,audio_features,spotify:track:42C7PVH57OL3bz1uoHT5S1,0.0909
5,Keep On,2H2XMLoltCvkGfph4dqX7k,0.271,https://api.spotify.com/v1/audio-analysis/2H2XMLoltCvkGfph4dqX7k,0.729,302164,0.861,2H2XMLoltCvkGfph4dqX7k,0.872,0,0.0916,-7.494,1,0.084,123.987,4,https://api.spotify.com/v1/tracks/2H2XMLoltCvkGfph4dqX7k,audio_features,spotify:track:2H2XMLoltCvkGfph4dqX7k,0.374
6,Fire,0k3HhJAt26YazworMFfeFt,0.543,https://api.spotify.com/v1/audio-analysis/0k3HhJAt26YazworMFfeFt,0.628,203000,0.812,0k3HhJAt26YazworMFfeFt,0.775,4,0.319,-6.341,0,0.042,99.006,4,https://api.spotify.com/v1/tracks/0k3HhJAt26YazworMFfeFt,audio_features,spotify:track:0k3HhJAt26YazworMFfeFt,0.0368
7,I Wanna Show You,1LrhnxZ40cjaVZn1Bzs6BJ,0.00279,https://api.spotify.com/v1/audio-analysis/1LrhnxZ40cjaVZn1Bzs6BJ,0.802,261000,0.835,1LrhnxZ40cjaVZn1Bzs6BJ,0.726,10,0.616,-4.89,0,0.0511,128.002,4,https://api.spotify.com/v1/tracks/1LrhnxZ40cjaVZn1Bzs6BJ,audio_features,spotify:track:1LrhnxZ40cjaVZn1Bzs6BJ,0.573
8,Rave,5IhYi7Dq247vMoGPQoAhzq,0.00052,https://api.spotify.com/v1/audio-analysis/5IhYi7Dq247vMoGPQoAhzq,0.845,388750,0.767,5IhYi7Dq247vMoGPQoAhzq,0.236,6,0.195,-7.335,0,0.0566,124.005,4,https://api.spotify.com/v1/tracks/5IhYi7Dq247vMoGPQoAhzq,audio_features,spotify:track:5IhYi7Dq247vMoGPQoAhzq,0.689
9,Colors,0X48RuFWc8ed8bkQZnF0SM,0.0914,https://api.spotify.com/v1/audio-analysis/0X48RuFWc8ed8bkQZnF0SM,0.565,172138,0.982,0X48RuFWc8ed8bkQZnF0SM,0.737,4,0.234,-1.335,0,0.0896,144.91,4,https://api.spotify.com/v1/tracks/0X48RuFWc8ed8bkQZnF0SM,audio_features,spotify:track:0X48RuFWc8ed8bkQZnF0SM,0.281
10,No Other,4HNl4ozVTYtHsBpRHuHfcd,0.00258,https://api.spotify.com/v1/audio-analysis/4HNl4ozVTYtHsBpRHuHfcd,0.608,487391,0.979,4HNl4ozVTYtHsBpRHuHfcd,0.627,11,0.284,-6.828,0,0.056,137.998,4,https://api.spotify.com/v1/tracks/4HNl4ozVTYtHsBpRHuHfcd,audio_features,spotify:track:4HNl4ozVTYtHsBpRHuHfcd,0.228
11,Mind Control (Never Say Never) (feat. Dread MC),6M7Qcz9ZcqsZHzBwoNzx0g,0.0228,https://api.spotify.com/v1/audio-analysis/6M7Qcz9ZcqsZHzBwoNzx0g,0.803,136875,0.947,6M7Qcz9ZcqsZHzBwoNzx0g,0.528,0,0.195,-2.961,0,0.0583,128.01,4,https://api.spotify.com/v1/tracks/6M7Qcz9ZcqsZHzBwoNzx0g,audio_features,spotify:track:6M7Qcz9ZcqsZHzBwoNzx0g,0.549
12,On The Train,5NyMz4f7eKvzz0eJKQBIAZ,0.00357,https://api.spotify.com/v1/audio-analysis/5NyMz4f7eKvzz0eJKQBIAZ,0.484,197486,0.989,5NyMz4f7eKvzz0eJKQBIAZ,0.0376,1,0.0799,0.491,0,0.496,174.979,4,https://api.spotify.com/v1/tracks/5NyMz4f7eKvzz0eJKQBIAZ,audio_features,spotify:track:5NyMz4f7eKvzz0eJKQBIAZ,0.478
13,Face (feat. G Perico),5mGURa1YDfldQkXrQzjDBn,0.00117,https://api.spotify.com/v1/audio-analysis/5mGURa1YDfldQkXrQzjDBn,0.832,365625,0.834,5mGURa1YDfldQkXrQzjDBn,0.218,9,0.0407,-6.16,1,0.0689,128,4,https://api.spotify.com/v1/tracks/5mGURa1YDfldQkXrQzjDBn,audio_features,spotify:track:5mGURa1YDfldQkXrQzjDBn,0.911
